FID,Lat,Lon,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
37,24.580810,54.703855,0.1241,0.1649,0.1958,0.2266,0.2728,0.2952,0.3179,0.3159,0.3391,0.2791
38,24.580760,54.711075,0.1078,0.1536,0.1783,0.2468,0.2940,0.3120,0.2991,0.3281,0.3525,0.2992
39,24.578784,54.727282,0.2526,0.3339,0.4124,0.4455,0.4439,0.4602,0.4682,0.4708,0.5817,0.5227
40,24.589675,54.720458,0.2197,0.2954,0.3661,0.4116,0.4154,0.4319,0.4308,0.4443,0.5379,0.4781
41,24.594950,54.664075,0.2218,0.3032,0.3732,0.4203,0.4242,0.4373,0.4394,0.4474,0.5520,0.5134
50,24.550393,54.669480,0.2136,0.2975,0.3818,0.4125,0.4107,0.4254,0.4356,0.4340,0.5474,0.5072
51,24.538660,54.654113,0.0811,0.1133,0.1204,0.1457,0.2217,0.2676,0.2826,0.2844,0.2255,0.1626
52,24.365507,54.729228,0.1634,0.2297,0.2994,0.3738,0.3993,0.4253,0.4273,0.4435,0.5189,0.4700
53,24.367125,54.726687,0.2030,0.2916,0.3985,0.4401,0.4529,0.4700,0.4764,0.4838,0.5958,0.5592
54,24.237920,54.681761,0.1616,0.2346,0.3132,0.3693,0.3966,0.4222,0.4332,0.4386,0.5218,0.4775
55,24.208637,54.854320,0.2276,0.3170,0.4134,0.4642,0.4657,0.4798,0.4788,0.4880,0.6018,0.5417
56,24.207598,54.858181,0.2330,0.3105,0.3942,0.4332,0.4341,0.4522,0.4592,0.4682,0.5847,0.5005
57,24.207263,54.886602,0.1755,0.2298,0.2755,0.3480,0.3809,0.4080,0.3939,0.4284,0.4920,0.4167
58,24.207224,54.887319,0.1669,0.2341,0.3323,0.3658,0.3834,0.4141,0.4306,0.4431,0.5646,0.4932
59,24.217336,54.901898,0.2485,0.3270,0.4042,0.4436,0.4439,0.4586,0.4576,0.4627,0.5623,0.5069
60,24.215395,54.903407,0.2244,0.2990,0.3804,0.4189,0.4223,0.4365,0.4350,0.4451,0.5571,0.5041
61,24.216747,54.910083,0.2266,0.2996,0.3829,0.4133,0.4191,0.4420,0.4484,0.4608,0.5826,0.5135
62,24.212195,54.906083,0.1918,0.2721,0.3740,0.4205,0.4295,0.4504,0.4616,0.4744,0.6127,0.5484
63,24.212195,54.906083,0.1918,0.2721,0.3740,0.4205,0.4295,0.4504,0.4616,0.4744,0.6127,0.5484
64,24.207488,54.913863,0.2234,0.3047,0.3876,0.4263,0.4269,0.4485,0.4469,0.4602,0.5675,0.5051
65,24.209492,54.923020,0.1533,0.2173,0.2896,0.3596,0.3846,0.4104,0.4138,0.4373,0.5372,0.4695
66,24.173150,55.036202,0.2395,0.3238,0.4176,0.4552,0.4541,0.4705,0.4760,0.4813,0.5964,0.5418
67,23.997285,55.546135,0.1230,0.2019,0.3480,0.3892,0.3933,0.4162,0.4244,0.4320,0.5948,0.5561
68,23.961243,55.466682,0.1430,0.2191,0.3208,0.3156,0.3735,0.4063,0.4180,0.4249,0.4691,0.4019
69,23.959037,55.461247,0.1650,0.2448,0.3516,0.3828,0.4011,0.4278,0.4372,0.4402,0.5502,0.5087
70,23.956685,55.447712,0.1484,0.2330,0.3480,0.3939,0.4037,0.4243,0.4328,0.4407,0.5631,0.5313
71,23.946053,55.452278,0.1302,0.2030,0.3206,0.3726,0.3924,0.4180,0.4168,0.4365,0.5563,0.5189
72,23.938467,55.450210,0.1074,0.1510,0.2020,0.2445,0.3304,0.3578,0.3726,0.3831,0.4033,0.3196
73,23.935502,55.454497,0.1590,0.2457,0.3803,0.4210,0.4286,0.4476,0.4528,0.4614,0.6026,0.5711
74,23.959887,55.504570,0.1322,0.1892,0.2729,0.3326,0.3608,0.3878,0.3816,0.4032,0.5081,0.4728
75,23.934958,55.418647,0.1000,0.1438,0.1704,0.2458,0.3102,0.3492,0.3564,0.3745,0.3759,0.3021
76,23.908422,55.410743,0.1688,0.2584,0.3768,0.3891,0.4027,0.4262,0.4476,0.4417,0.5497,0.5135
77,23.916485,55.362242,0.1490,0.2246,0.3251,0.3742,0.4067,0.4329,0.4404,0.4542,0.5470,0.5097
78,23.907865,55.358057,0.1582,0.2496,0.3914,0.4392,0.4429,0.4631,0.4646,0.4755,0.6170,0.5857
79,23.901981,55.362227,0.1518,0.2249,0.3228,0.3735,0.3993,0.4299,0.4336,0.4469,0.5448,0.5035
80,23.896105,55.363468,0.1734,0.2417,0.3199,0.3664,0.3956,0.4232,0.4234,0.4376,0.5223,0.4844
81,24.011144,55.608670,0.1098,0.1576,0.2144,0.2530,0.2841,0.3100,0.3162,0.3395,0.4081,0.3437
82,23.858212,55.518253,0.1301,0.1843,0.2511,0.2770,0.3213,0.3568,0.3690,0.3746,0.4129,0.3554
